algorithm,k,c,d,i,ari,obj,t
kmeans,3,-0.26,2,1,0.413231439,26426.47525,0.000865138
kmeans_ms,3,-0.26,2,1,0.411566662,26399.3162,0.334099584
kmeans_rs,3,-0.26,2,1,0.411566662,26399.3162,0.078833918
kmeans_hg,3,-0.26,2,1,0.411566662,26399.3162,0.085194153
gmm,3,-0.26,2,1,0.385020799,-7.46714279,0.009381573
gmm_ms,3,-0.26,2,1,0.282752272,-7.448933124,0.48937573
gmm_rs,3,-0.26,2,1,0.254147296,-7.448263445,0.220722953
gmm_hg,3,-0.26,2,1,0.286473582,-7.448488354,0.296512977
gmm_shrunk,3,-0.26,2,1,0.431311669,-7.469443626,0.001755043
gmm_ms_shrunk,3,-0.26,2,1,0.296161183,-7.451536504,0.452218548
gmm_rs_shrunk,3,-0.26,2,1,0.30481156,-7.451231785,0.106693564
gmm_hg_shrunk,3,-0.26,2,1,0.290886557,-7.451147793,0.238720612
gmm_oas,3,-0.26,2,1,0.433918815,-7.467940717,0.001889121
gmm_ms_oas,3,-0.26,2,1,0.29370602,-7.449275895,0.448830313
gmm_rs_oas,3,-0.26,2,1,0.284407943,-7.449139789,0.109845444
gmm_hg_oas,3,-0.26,2,1,0.272497455,-7.449118576,0.280850956
gmm_ledoitwolf,3,-0.26,2,1,0.416170402,-7.46760993,0.002328179
gmm_ms_ledoitwolf,3,-0.26,2,1,0.29370602,-7.44924949,0.576067907
gmm_rs_ledoitwolf,3,-0.26,2,1,0.283812465,-7.448801869,0.126023251
gmm_hg_ledoitwolf,3,-0.26,2,1,0.271660922,-7.449037652,0.237373196
kmeans,3,-0.26,2,2,0.463104536,51022.14932,0.000729724
kmeans_ms,3,-0.26,2,2,0.461167537,51019.66988,0.268344518
kmeans_rs,3,-0.26,2,2,0.461167537,51019.66988,0.066024343
kmeans_hg,3,-0.26,2,2,0.461167537,51019.66988,0.069523184
gmm,3,-0.26,2,2,0.316582695,-8.169032268,0.000584207
gmm_ms,3,-0.26,2,2,0.314948789,-8.147121415,0.331161134
gmm_rs,3,-0.26,2,2,0.301369419,-8.146279124,0.239877651
gmm_hg,3,-0.26,2,2,0.326491234,-8.146349645,0.213529188
gmm_shrunk,3,-0.26,2,2,0.301740281,-8.17055618,0.000469158
gmm_ms_shrunk,3,-0.26,2,2,0.44843356,-8.149765739,0.304646141
gmm_rs_shrunk,3,-0.26,2,2,0.272359252,-8.14933041,0.107426399
gmm_hg_shrunk,3,-0.26,2,2,0.302554548,-8.150515006,0.152730322
gmm_oas,3,-0.26,2,2,0.309641895,-8.169516956,0.000496754
gmm_ms_oas,3,-0.26,2,2,0.375944441,-8.1494117,0.296331249
gmm_rs_oas,3,-0.26,2,2,0.418365454,-8.149748726,0.139193015
gmm_hg_oas,3,-0.26,2,2,0.267488168,-8.149093167,0.116729359
gmm_ledoitwolf,3,-0.26,2,2,0.285482568,-8.170882442,0.000565104
gmm_ms_ledoitwolf,3,-0.26,2,2,0.32909386,-8.148204334,0.373619188
gmm_rs_ledoitwolf,3,-0.26,2,2,0.317256103,-8.146825693,0.132720695
gmm_hg_ledoitwolf,3,-0.26,2,2,0.308096549,-8.147391993,0.158638722
kmeans,3,-0.26,2,3,0.370762338,38643.83495,0.00049628
kmeans_ms,3,-0.26,2,3,0.418038921,38391.76365,0.272279185
kmeans_rs,3,-0.26,2,3,0.418038921,38391.76365,0.053053335
kmeans_hg,3,-0.26,2,3,0.418038921,38391.76365,0.067462701
gmm,3,-0.26,2,3,0.173997226,-7.859652985,0.005597881
gmm_ms,3,-0.26,2,3,0.212113954,-7.797113272,0.31363914
gmm_rs,3,-0.26,2,3,0.401306289,-7.839853262,0.13584295
gmm_hg,3,-0.26,2,3,0.413211428,-7.839715688,0.138868432
gmm_shrunk,3,-0.26,2,3,0.115354966,-7.861667594,0.000492144
gmm_ms_shrunk,3,-0.26,2,3,0.215698513,-7.839689517,0.286495368
gmm_rs_shrunk,3,-0.26,2,3,0.361312303,-7.842099611,0.138944588
gmm_hg_shrunk,3,-0.26,2,3,0.525399407,-7.841783988,0.234957018
gmm_oas,3,-0.26,2,3,0.137768149,-7.860130339,0.003955145
gmm_ms_oas,3,-0.26,2,3,0.189812297,-7.836664171,0.271977096
gmm_rs_oas,3,-0.26,2,3,0.4374727,-7.841018994,0.092593865
gmm_hg_oas,3,-0.26,2,3,0.498268271,-7.841154391,0.09136366
gmm_ledoitwolf,3,-0.26,2,3,0.058886919,-7.862608158,0.00069642
gmm_ms_ledoitwolf,3,-0.26,2,3,0.205484262,-7.832235699,0.348287605
gmm_rs_ledoitwolf,3,-0.26,2,3,0.3860629,-7.841476156,0.220483435
gmm_hg_ledoitwolf,3,-0.26,2,3,0.203749665,-7.83527419,0.18863254
kmeans,3,-0.26,2,4,0.407459767,60226.27048,0.000604793
kmeans_ms,3,-0.26,2,4,0.407459767,60226.27048,0.375638564
kmeans_rs,3,-0.26,2,4,0.407459767,60226.27048,0.086496984
kmeans_hg,3,-0.26,2,4,0.407459767,60226.27048,0.102759376
gmm,3,-0.26,2,4,0.398451575,-8.298113522,0.000735006
gmm_ms,3,-0.26,2,4,0.152622593,-8.179942897,0.314477091
gmm_rs,3,-0.26,2,4,0.297858351,-8.29265426,0.096735299
gmm_hg,3,-0.26,2,4,0.284426528,-8.292604374,0.106888725
gmm_shrunk,3,-0.26,2,4,0.395141755,-8.299722213,0.00054848
gmm_ms_shrunk,3,-0.26,2,4,0.33094677,-8.295604217,0.267279385
gmm_rs_shrunk,3,-0.26,2,4,0.348526169,-8.296814775,0.21700948
gmm_hg_shrunk,3,-0.26,2,4,0.3205168,-8.295861386,0.127687937
gmm_oas,3,-0.26,2,4,0.392958978,-8.303644054,0.000434974
gmm_ms_oas,3,-0.26,2,4,0.327445709,-8.294182867,0.257024799
gmm_rs_oas,3,-0.26,2,4,0.326022231,-8.293655646,0.08053315
gmm_hg_oas,3,-0.26,2,4,0.303753638,-8.294367741,0.1434732
gmm_ledoitwolf,3,-0.26,2,4,0.402470415,-8.303832472,0.000842868
gmm_ms_ledoitwolf,3,-0.26,2,4,0.336464172,-8.295806752,0.336742406
gmm_rs_ledoitwolf,3,-0.26,2,4,0.321922393,-8.296825376,0.122902787
gmm_hg_ledoitwolf,3,-0.26,2,4,0.297166643,-8.296512028,0.229992773
kmeans,3,-0.26,2,5,0.183696286,51338.76506,0.000250336
kmeans_ms,3,-0.26,2,5,0.484234991,43178.01829,0.310265994
kmeans_rs,3,-0.26,2,5,0.484234991,43178.01829,0.072297222
kmeans_hg,3,-0.26,2,5,0.484234991,43178.01829,0.090162577
gmm,3,-0.26,2,5,0.480586427,-7.824278655,0.001601192
gmm_ms,3,-0.26,2,5,0.687473108,-7.690021351,0.555977874
gmm_rs,3,-0.26,2,5,0.695955477,-7.690039812,0.204261785
gmm_hg,3,-0.26,2,5,0.688010567,-7.690011052,0.132514028
gmm_shrunk,3,-0.26,2,5,0.552023029,-7.799882604,0.001243749
gmm_ms_shrunk,3,-0.26,2,5,0.549104872,-7.7649687,0.564389348
gmm_rs_shrunk,3,-0.26,2,5,0.559246968,-7.767352294,0.182587066
gmm_hg_shrunk,3,-0.26,2,5,0.559246968,-7.767072629,0.140280592
gmm_oas,3,-0.26,2,5,0.648166258,-7.705407764,0.001495174
gmm_ms_oas,3,-0.26,2,5,0.69551665,-7.700333077,0.549306213
gmm_rs_oas,3,-0.26,2,5,0.65580878,-7.700195358,0.269102785
gmm_hg_oas,3,-0.26,2,5,0.65580878,-7.70051907,0.12014922
gmm_ledoitwolf,3,-0.26,2,5,0.488594049,-7.950960798,0.000823172
gmm_ms_ledoitwolf,3,-0.26,2,5,0.529875557,-7.757942162,0.728360153
gmm_rs_ledoitwolf,3,-0.26,2,5,0.510666177,-7.7945365,0.162315584
gmm_hg_ledoitwolf,3,-0.26,2,5,0.524508023,-7.787403992,0.186459862
kmeans,3,-0.26,2,6,0.400133962,42372.92761,0.001285235
kmeans_ms,3,-0.26,2,6,0.400133962,42372.92761,0.295528715
kmeans_rs,3,-0.26,2,6,0.400133962,42372.92761,0.065240755
kmeans_hg,3,-0.26,2,6,0.400133962,42372.92761,0.075358187
gmm,3,-0.26,2,6,0.569454491,-7.91823636,0.011229115
gmm_ms,3,-0.26,2,6,0.40045654,-7.844865885,0.698121408
gmm_rs,3,-0.26,2,6,0.593340157,-7.910739936,0.270059893
gmm_hg,3,-0.26,2,6,0.58749599,-7.910757905,0.206152043
gmm_shrunk,3,-0.26,2,6,0.365741636,-7.996624093,0.00159566
gmm_ms_shrunk,3,-0.26,2,6,0.576571415,-7.931433493,0.638152617
gmm_rs_shrunk,3,-0.26,2,6,0.57834789,-7.932395012,0.174231096
gmm_hg_shrunk,3,-0.26,2,6,0.57834789,-7.932062562,0.367368676
gmm_oas,3,-0.26,2,6,0.493930037,-7.927434608,0.002445131
gmm_ms_oas,3,-0.26,2,6,0.586212426,-7.91309457,0.696938402
gmm_rs_oas,3,-0.26,2,6,0.592030468,-7.913486308,0.173931016
gmm_hg_oas,3,-0.26,2,6,0.578863493,-7.913135735,0.197828239
gmm_ledoitwolf,3,-0.26,2,6,0.219827908,-8.030298225,0.000411398
gmm_ms_ledoitwolf,3,-0.26,2,6,0.582265962,-7.924968591,0.767311871
gmm_rs_ledoitwolf,3,-0.26,2,6,0.584880371,-7.926802399,0.208195108
gmm_hg_ledoitwolf,3,-0.26,2,6,0.565068422,-7.926445566,0.183987681
kmeans,3,-0.26,2,7,0.562845691,61477.69766,0.000532912
kmeans_ms,3,-0.26,2,7,0.56876369,61425.66133,0.254960151
kmeans_rs,3,-0.26,2,7,0.56876369,61425.66133,0.062848787
kmeans_hg,3,-0.26,2,7,0.56876369,61425.66133,0.078114587
gmm,3,-0.26,2,7,0.317785588,-8.407124666,0.001017352
gmm_ms,3,-0.26,2,7,0.316782654,-8.367511046,0.357274686
gmm_rs,3,-0.26,2,7,0.304919629,-8.381193231,0.133859722
gmm_hg,3,-0.26,2,7,0.325636441,-8.372597341,0.166573158
gmm_shrunk,3,-0.26,2,7,0.395759931,-8.403647578,0.001143488
gmm_ms_shrunk,3,-0.26,2,7,0.327356707,-8.38323848,0.337718937
gmm_rs_shrunk,3,-0.26,2,7,0.311374523,-8.382716247,0.10168949
gmm_hg_shrunk,3,-0.26,2,7,0.325558176,-8.383350964,0.166281647
gmm_oas,3,-0.26,2,7,0.491544736,-8.400254054,0.001433526
gmm_ms_oas,3,-0.26,2,7,0.317829331,-8.377457658,0.336316857
gmm_rs_oas,3,-0.26,2,7,0.306282938,-8.382777404,0.136987712
gmm_hg_oas,3,-0.26,2,7,0.302786915,-8.374537155,0.171392796
gmm_ledoitwolf,3,-0.26,2,7,0.405837073,-8.403139702,0.001402993
gmm_ms_ledoitwolf,3,-0.26,2,7,0.441257865,-8.385971446,0.407859835
gmm_rs_ledoitwolf,3,-0.26,2,7,0.470134626,-8.385654727,0.306953168
gmm_hg_ledoitwolf,3,-0.26,2,7,0.530785727,-8.385635814,0.428119012
kmeans,3,-0.26,2,8,0.371651648,58769.38482,0.000499388
kmeans_ms,3,-0.26,2,8,0.366655818,58692.36397,0.292492291
kmeans_rs,3,-0.26,2,8,0.366655818,58692.36397,0.093742375
kmeans_hg,3,-0.26,2,8,0.366655818,58692.36397,0.080568405
gmm,3,-0.26,2,8,0.25195313,-8.340452866,0.000491888
gmm_ms,3,-0.26,2,8,0.206977179,-8.296581138,0.379256934
gmm_rs,3,-0.26,2,8,0.378061786,-8.319836747,0.181359919
gmm_hg,3,-0.26,2,8,0.383415875,-8.3197077,0.164443603
gmm_shrunk,3,-0.26,2,8,0.355417616,-8.324775913,0.000977843
gmm_ms_shrunk,3,-0.26,2,8,0.371589056,-8.320150988,0.417707147
gmm_rs_shrunk,3,-0.26,2,8,0.406174678,-8.320432483,0.10476487
gmm_hg_shrunk,3,-0.26,2,8,0.396293931,-8.320080856,0.225186679
gmm_oas,3,-0.26,2,8,0.247861053,-8.340263654,0.000549647
gmm_ms_oas,3,-0.26,2,8,0.239655184,-8.315749518,0.430953668
gmm_rs_oas,3,-0.26,2,8,0.392672552,-8.321107958,0.138161633
gmm_hg_oas,3,-0.26,2,8,0.364188604,-8.321648675,0.14462032
gmm_ledoitwolf,3,-0.26,2,8,0.25988719,-8.33872186,0.000747847
gmm_ms_ledoitwolf,3,-0.26,2,8,0.239655184,-8.315309194,0.555453438
gmm_rs_ledoitwolf,3,-0.26,2,8,0.39328796,-8.320374708,0.258898386
gmm_hg_ledoitwolf,3,-0.26,2,8,0.370286338,-8.320160964,0.305992247
kmeans,3,-0.26,2,9,0.443751849,53164.06198,0.000458395
kmeans_ms,3,-0.26,2,9,0.462920682,53148.14307,0.233540895
kmeans_rs,3,-0.26,2,9,0.462920682,53148.14307,0.057923688
kmeans_hg,3,-0.26,2,9,0.462920682,53148.14307,0.060474397
gmm,3,-0.26,2,9,0.224259722,-8.248458255,0.000610944
