algorithm,k,c,d,i,ari,nmi,ci_sphere,ci_ellipsoid,ci_ellipsoid_norm,ci_mixture,ci_mixture_norm,mirkins_index,huberts_index,varinfo,vmeasure,obj,t
gmm,3,-0.26,2,1,0.15688185,0.254157827,1,1,1,1,1,0.385351171,0.229297659,1.59418149,0.254157827,-7.488978116,0.001533896
gmm_hg,3,-0.26,2,1,0.27014357,0.332488658,1,1,0,1,0,0.348294314,0.303411371,1.364192481,0.332488658,-7.44839895,0.258018846
gmm_hg_ledoitwolf,3,-0.26,2,1,0.292147764,0.348116522,0,1,0,1,0,0.333779264,0.332441472,1.348619238,0.348116522,-7.44872573,0.277829264
gmm_hg_oas,3,-0.26,2,1,0.261537283,0.335607297,0,1,0,1,0,0.354403567,0.291192865,1.351421215,0.335607297,-7.449432047,0.265674278
gmm_hg_shrunk,3,-0.26,2,1,0.285942973,0.345295455,0,1,0,1,0,0.338216276,0.323567447,1.348753126,0.345295455,-7.451138137,0.249602683
gmm_ledoitwolf,3,-0.26,2,1,0.344796659,0.350927738,0,0,0,0,0,0.291884058,0.416231884,1.419064994,0.350927738,-7.472162081,0.001838606
gmm_ms,3,-0.26,2,1,0.253695952,0.328130081,0,1,0,1,0,0.356744705,0.286510591,1.374302688,0.328130081,-7.449880185,0.269003431
gmm_ms_ledoitwolf,3,-0.26,2,1,0.267946204,0.338047915,0,1,0,1,0,0.348896321,0.302207358,1.357415461,0.338047915,-7.449958443,0.271412596
gmm_ms_oas,3,-0.26,2,1,0.301706071,0.355054896,1,1,1,1,1,0.33638796,0.32722408,1.299447395,0.355054896,-7.450488609,0.233286704
gmm_ms_shrunk,3,-0.26,2,1,0.292760164,0.356513339,0,0,0,0,0,0.334113712,0.331772575,1.331202301,0.356513339,-7.452203784,0.219301243
gmm_oas,3,-0.26,2,1,0.311540216,0.339263906,0,0,0,0,0,0.308472687,0.383054627,1.437411934,0.339263906,-7.473069155,0.001645758
