algorithm,dataset,n,k,d,i,ari,nmi,ci_sphere,ci_ellipsoid,ci_ellipsoid_norm,ci_mixture,ci_mixture_norm,mirkins_index,huberts_index,varinfo,vmeasure,obj,t
kmeans,facebook_live_sellers,7050,4,9,1,0.09598341411814648,0.10648062318273663,3,3,3,3,3,0.4613846136819367,0.07723077263612664,1.178266267914352,0.1064806231827365,2.003268277286724e9,0.287769922
kmeans,facebook_live_sellers,7050,4,9,2,0.09598341411814648,0.10648062318273663,3,3,3,3,3,0.4613846136819367,0.07723077263612664,1.1782662679143523,0.1064806231827365,2.003268277286724e9,0.270643006
kmeans,facebook_live_sellers,7050,4,9,3,0.09598341411814648,0.1064806231827336,3,3,3,3,3,0.4613846136819367,0.07723077263612664,1.178266267914352,0.10648062318273396,2.003268277286724e9,0.27343312
kmeans,facebook_live_sellers,7050,4,9,4,0.09598341411814648,0.10648062318273663,3,3,3,3,3,0.4613846136819367,0.07723077263612664,1.1782662679143523,0.1064806231827365,2.003268277286724e9,0.216212586
kmeans,facebook_live_sellers,7050,4,9,5,0.09598341411814648,0.10648062318273512,3,3,3,3,3,0.4613846136819367,0.07723077263612664,1.178266267914352,0.10648062318273492,2.003268277286724e9,0.2785894
kmeans,facebook_live_sellers,7050,4,9,6,0.09598341411814648,0.1064806231827336,3,3,3,3,3,0.4613846136819367,0.07723077263612664,1.178266267914352,0.10648062318273396,2.003268277286724e9,0.253549429
kmeans,facebook_live_sellers,7050,4,9,7,0.09598341411814648,0.10648062318273663,3,3,3,3,3,0.4613846136819367,0.07723077263612664,1.178266267914352,0.1064806231827365,2.003268277286724e9,0.262606483
kmeans,facebook_live_sellers,7050,4,9,8,0.09598341411814648,0.10648062318273512,3,3,3,3,3,0.4613846136819367,0.07723077263612664,1.178266267914352,0.10648062318273545,2.003268277286724e9,0.267804239
kmeans,facebook_live_sellers,7050,4,9,9,0.09598341411814648,0.10648062318273512,3,3,3,3,3,0.4613846136819367,0.07723077263612664,1.178266267914352,0.10648062318273492,2.003268277286724e9,0.242657901
kmeans,facebook_live_sellers,7050,4,9,10,0.09598341411814648,0.10648062318273663,3,3,3,3,3,0.4613846136819367,0.07723077263612664,1.1782662679143519,0.1064806231827365,2.003268277286724e9,0.268187314
kmeans_hg,facebook_live_sellers,7050,4,9,1,0.08876649147480668,0.09524301351689096,3,3,3,3,3,0.46534445306361044,0.0693110938727791,1.1774777552226556,0.09524301351689084,2.0009660107304583e9,43.165078792
kmeans_hg,facebook_live_sellers,7050,4,9,2,0.08760451590756588,0.09479602126995053,3,3,3,3,3,0.465968413607282,0.0680631727854361,1.1766840999932078,0.0947960212699502,2.000970035600727e9,40.397251242
kmeans_hg,facebook_live_sellers,7050,4,9,3,0.08876649147480668,0.09524301351688944,3,3,3,3,3,0.46534445306361044,0.0693110938727791,1.1774777552226556,0.09524301351688975,2.0009660107304583e9,39.960740433
kmeans_hg,facebook_live_sellers,7050,4,9,4,0.0874002616166187,0.09456586240015961,3,3,3,3,3,0.46608057679324766,0.06783884641350466,1.176582457866328,0.0945658624001597,2.0009657831717584e9,37.199131976
kmeans_hg,facebook_live_sellers,7050,4,9,5,0.08876649147480668,0.09524301351688944,3,3,3,3,3,0.46534445306361044,0.0693110938727791,1.1774777552226559,0.09524301351688921,2.0009660107304583e9,40.038298202
kmeans_hg,facebook_live_sellers,7050,4,9,6,0.087981198533624,0.09478791808892603,3,3,3,3,3,0.4657685965214119,0.06846280695717616,1.17698227807,0.09478791808892639,2.0009630474544303e9,40.995285949
kmeans_hg,facebook_live_sellers,7050,4,9,7,0.08876649147480668,0.09524301351689096,3,3,3,3,3,0.46534445306361044,0.0693110938727791,1.1774777552226556,0.09524301351689084,2.0009660107304583e9,41.810998797
kmeans_hg,facebook_live_sellers,7050,4,9,8,0.08856219400416535,0.09501317685270678,3,3,3,3,3,0.4654566162495762,0.06908676750084766,1.1773763231497685,0.0950131768527072,2.0009619058227358e9,39.771692761
kmeans_hg,facebook_live_sellers,7050,4,9,9,0.08760451590756588,0.09479602126995053,3,3,3,3,3,0.465968413607282,0.0680631727854361,1.1766840999932078,0.0947960212699502,2.000970035600727e9,41.417716988
kmeans_hg,facebook_live_sellers,7050,4,9,10,0.0874002616166187,0.09456586240015961,3,3,3,3,3,0.46608057679324766,0.06783884641350466,1.176582457866328,0.0945658624001597,2.0009657831717584e9,40.548583967
gmm,facebook_live_sellers,7050,4,9,1,0.12082754362257528,0.08750853158010824,1,2,2,2,2,0.43333826336213876,0.13332347327572242,1.969977375786885,0.08750853158010816,5.190289567583307,0.179264245
gmm,facebook_live_sellers,7050,4,9,2,0.1611172123943234,0.12148774494743385,1,2,2,2,2,0.4168064480752262,0.1663871038495476,1.6940090689652363,0.12148774494743393,1.7501359913184347,0.197486146
gmm,facebook_live_sellers,7050,4,9,3,0.15770216191579994,0.1199098005250094,1,2,2,2,2,0.41861973279243875,0.1627605344151225,1.6841215381463723,0.11990980052500917,2.1186906066989653,0.432057634
gmm,facebook_live_sellers,7050,4,9,4,0.1479861960072845,0.10112555776843227,1,2,2,2,2,0.42325983565899894,0.15348032868200207,1.764726047380844,0.1011255577684325,0.5744969074613572,0.50508171
gmm,facebook_live_sellers,7050,4,9,5,0.15753502901423289,0.11973396698852236,1,2,2,2,2,0.41869965962678674,0.16260068074642647,1.6850758133469939,0.11973396698852228,2.118982357409517,0.646940016
gmm,facebook_live_sellers,7050,4,9,6,0.12924387745690727,0.08326806838296028,2,2,2,2,2,0.4334264404487735,0.13314711910245305,1.6823437398044654,0.08326806838296039,1.8518330242942582,0.241234266
gmm,facebook_live_sellers,7050,4,9,7,0.15710013195411862,0.09504596389989738,2,2,3,2,3,0.4206500997576237,0.15869980048475263,1.609162359188234,0.09504596389989721,-2.283922177497415,0.24760799
gmm,facebook_live_sellers,7050,4,9,8,0.129566510901701,0.08500157065315814,2,3,2,3,2,0.4332864276306986,0.13342714473860284,1.6742862335383892,0.08500157065315816,1.8512739929057223,0.395808427
gmm,facebook_live_sellers,7050,4,9,9,0.17981593571684554,0.11524061077319818,2,2,2,2,2,0.4113395491941415,0.17732090161171696,1.5017160089236365,0.11524061077319857,-2.0895328298868217,0.221401772
gmm,facebook_live_sellers,7050,4,9,10,0.16122084117028312,0.1230296913009135,1,2,2,2,2,0.41693474955956733,0.16613050088086534,1.6632208442125729,0.12302969130091351,2.009248385302682,3.313631249
gmm_ms,facebook_live_sellers,7050,4,9,1,0.11258295965721989,0.09650030114800513,1,2,2,2,2,0.43857962851729887,0.12284074296540226,1.8232806246707534,0.09650030114800522,7.172913541365367,87.017326392
gmm_ms,facebook_live_sellers,7050,4,9,2,0.11515779813127978,0.09852198663984771,1,2,2,2,2,0.43726381389040647,0.12547237221918706,1.8270174716583403,0.09852198663984768,7.303282138134865,95.581599366
gmm_ms,facebook_live_sellers,7050,4,9,3,0.11415007018022683,0.0977869324493073,1,2,2,2,2,0.4377633767276481,0.12447324654470379,1.8309188862438912,0.09778693244930735,7.120767546643707,103.224193861
gmm_ms,facebook_live_sellers,7050,4,9,4,0.10406009810074142,0.09600071054380208,1,3,2,3,2,0.4422450747503041,0.11550985049939179,1.8945147886177949,0.09600071054380217,6.518012581449326,90.414167977
gmm_ms,facebook_live_sellers,7050,4,9,5,0.07735440217803433,0.06591416628456144,1,3,2,3,2,0.4542822330817006,0.09143553383659872,2.033155454331967,0.06591416628456166,7.525727896070068,96.81066792
gmm_ms,facebook_live_sellers,7050,4,9,6,0.07754290016441766,0.06622049727777367,1,2,2,2,2,0.4541746980860421,0.09165060382791583,2.033132075265176,0.06622049727777383,7.526584767127007,100.185434095
gmm_ms,facebook_live_sellers,7050,4,9,7,0.11385950174050812,0.09746932612301423,1,2,2,2,2,0.4378621382842896,0.12427572343142078,1.8384856309570972,0.0974693261230142,7.261382193047119,96.686632735
gmm_ms,facebook_live_sellers,7050,4,9,8,0.11614825946637318,0.10078243896478148,1,2,2,2,2,0.4368032083420112,0.1263935833159776,1.8224610036867646,0.10078243896478141,7.172659000681422,92.873922029
gmm_ms,facebook_live_sellers,7050,4,9,9,0.07762001824242322,0.06518085655041894,2,2,2,2,2,0.45420971135184407,0.09158057729631183,2.0311863899039926,0.06518085655041919,6.798074001554612,102.067904993
gmm_ms,facebook_live_sellers,7050,4,9,10,0.11224793424097312,0.09652962031302792,1,2,2,2,2,0.4387380333612031,0.12252393327759382,1.827281254335929,0.09652962031302796,7.092210069381114,100.628007831
gmm_rs,facebook_live_sellers,7050,4,9,1,0.1296027473186791,0.10442822220871249,1,2,2,2,2,0.43090383526057213,0.1381923294788557,1.77914459992375,0.1044282222087123,6.3025934544784,102.533020581
gmm_rs,facebook_live_sellers,7050,4,9,2,0.13534925144158105,0.12747249251710424,2,3,2,3,2,0.42904418815002177,0.14191162369995644,1.6973562676620162,0.12747249251710432,5.251737210723817,54.648004088
gmm_rs,facebook_live_sellers,7050,4,9,3,0.13682568971103173,0.1291263130170911,2,2,2,2,2,0.4283308834108555,0.14333823317828895,1.6898504256784503,0.12912631301709102,5.321740927184601,85.567877328
gmm_rs,facebook_live_sellers,7050,4,9,4,0.1366033491109208,0.12672204483788274,2,2,2,2,2,0.4283970061645483,0.14320598767090348,1.7003227396147889,0.12672204483788266,5.481211510040574,109.248744695
gmm_rs,facebook_live_sellers,7050,4,9,5,0.12544932247233392,0.10320025139678289,2,2,2,2,2,0.43373226321524405,0.1325354735695119,1.7499774110453663,0.10320025139678296,6.34652662267867,95.611239332
gmm_rs,facebook_live_sellers,7050,4,9,6,0.11434206191410383,0.09458109305399579,2,2,2,2,2,0.4376932697057779,0.12461346058844422,1.8413415716786146,0.09458109305399594,7.305040355754437,166.48682378
gmm_rs,facebook_live_sellers,7050,4,9,7,0.13556734505796655,0.12525763678686147,2,2,2,2,2,0.4289131499966295,0.14217370000674107,1.7034468407582193,0.12525763678686155,5.320017963005817,122.430857477
gmm_rs,facebook_live_sellers,7050,4,9,8,0.061742833078437746,0.04683438736092158,1,2,2,2,2,0.4627230058285014,0.0745539883429972,2.005271980610169,0.0468343873609218,7.53673794567404,66.003344026
gmm_rs,facebook_live_sellers,7050,4,9,9,0.1360447584650923,0.1278283403023714,2,3,2,3,2,0.42874838642169455,0.14250322715661093,1.6887553106576036,0.12782834030237147,5.382610901610008,139.59413154
gmm_rs,facebook_live_sellers,7050,4,9,10,0.14032106720426155,0.1402779677269892,2,2,2,2,2,0.42664960273022984,0.14670079453954035,1.6597134874262895,0.1402779677269895,4.726047009201169,191.374415128
gmm_hg,facebook_live_sellers,7050,4,9,1,0.11272574028375765,0.09658960728228652,1,2,2,2,2,0.4385174900317836,0.12296501993643282,1.8217044513018759,0.09658960728228656,7.300922748532496,107.037581552
gmm_hg,facebook_live_sellers,7050,4,9,2,0.11515779813127978,0.09852198663984771,1,2,2,2,2,0.43726381389040647,0.12547237221918706,1.8270174716583403,0.09852198663984768,7.303282138134865,83.934591233
gmm_hg,facebook_live_sellers,7050,4,9,3,0.11258404529769779,0.0968585513386391,1,2,2,2,2,0.43856900380215896,0.1228619923956821,1.82676497775896,0.0968585513386392,7.242492135740587,108.495802301
gmm_hg,facebook_live_sellers,7050,4,9,4,0.11432691389048605,0.09421883330991172,2,3,2,3,2,0.43771447889092463,0.12457104221815075,1.8391229817735764,0.09421883330991175,7.149759875041819,108.810160767
gmm_hg,facebook_live_sellers,7050,4,9,5,0.07741287656330698,0.06596842445294598,1,2,2,2,2,0.45425096261327746,0.09149807477344506,2.033138556761046,0.06596842445294586,7.526125198016606,114.105523874
gmm_hg,facebook_live_sellers,7050,4,9,6,0.11310026060224183,0.09329483428376957,2,2,2,2,2,0.43838717629078716,0.12322564741842564,1.82669927851191,0.09329483428376945,7.259294666198639,104.775283935
gmm_hg,facebook_live_sellers,7050,4,9,7,0.06252134414896035,0.05068742959366661,1,2,2,2,2,0.462409254770809,0.075181490458382,1.9888094718949287,0.05068742959366677,7.160328195509501,76.292171389
gmm_hg,facebook_live_sellers,7050,4,9,8,0.11452034124417923,0.09798082940188672,1,2,2,2,2,0.4375933410402763,0.12481331791944736,1.827370615312815,0.09798082940188668,7.411248719451222,117.963089942
gmm_hg,facebook_live_sellers,7050,4,9,9,0.11248148727772721,0.09650214394797003,1,3,2,3,2,0.43861166364325105,0.12277667271349792,1.8291278519755394,0.0965021439479699,7.558446729297913,105.556677398
gmm_hg,facebook_live_sellers,7050,4,9,10,0.11402122119493459,0.0976900782011178,1,2,2,2,2,0.4378209272679893,0.12435814546402135,1.8323900468807972,0.0976900782011177,7.884235510006549,95.509525054
