algorithm,dataset,n,k,d,i,ari,nmi,ci_sphere,ci_ellipsoid,ci_ellipsoid_norm,ci_mixture,ci_mixture_norm,mirkins_index,huberts_index,varinfo,vmeasure,obj,t
kmeans,fashion_mnist,10000,10,784,1,0.37817002871443584,0.5168316542914065,1,9,9,1,1,0.11764902490249025,0.7647019501950195,2.195539510782477,0.5168316542914064,2.5999928487874013e6,3.395391692
kmeans,fashion_mnist,10000,10,784,2,0.3428024697269699,0.508779927125237,2,9,9,2,2,0.1280041404140414,0.7439917191719172,2.2123328054529634,0.5087799271252369,2.5333501158562894e6,1.413066458
kmeans,fashion_mnist,10000,10,784,3,0.33738346384065543,0.5039462514808518,2,9,9,2,2,0.12557905790579058,0.7488418841884188,2.2534161137225976,0.5039462514808519,2.560062576096364e6,1.510121592
kmeans,fashion_mnist,10000,10,784,4,0.3433795131616824,0.5094747316949179,2,9,9,2,2,0.12796661666166617,0.7440667666766677,2.208801434647068,0.5094747316949177,2.5334074214669354e6,1.955807162
kmeans,fashion_mnist,10000,10,784,5,0.3792602869819834,0.5180298448102336,1,9,9,1,1,0.11747226722672267,0.7650554655465547,2.189989927922527,0.5180298448102335,2.5999783106304323e6,3.63861806
kmeans,fashion_mnist,10000,10,784,6,0.34365375003633014,0.5035127545549648,3,9,9,3,3,0.12276787678767877,0.7544642464246425,2.2619755375805957,0.5035127545549648,2.5611735619600373e6,1.637022492
kmeans,fashion_mnist,10000,10,784,7,0.34325403184454706,0.5093770244934984,2,9,9,2,2,0.12794035403540355,0.7441192919291929,2.209536388093433,0.5093770244934984,2.533374406571342e6,1.368367263
kmeans,fashion_mnist,10000,10,784,8,0.3423693344611045,0.5081483732223018,2,9,9,2,2,0.12814079407940793,0.7437184118411841,2.2146951054919928,0.5081483732223017,2.5333814101738045e6,1.607393557
kmeans,fashion_mnist,10000,10,784,9,0.34295243160727357,0.5089805830829437,2,9,9,2,2,0.12795585558555855,0.7440882888288829,2.2114624066540993,0.5089805830829436,2.5333551447725473e6,1.160430045
kmeans,fashion_mnist,10000,10,784,10,0.3833856461691826,0.5150325338981125,1,9,9,1,1,0.11407168716871686,0.7718566256625663,2.2173926490796774,0.5150325338981125,2.5691246881065024e6,2.452236154
