algorithm,dataset,n,k,d,i,ari,obj,t
kmeans,facebook_live_sellers,7050,4,9,10,0.095983414,2.00E+09,0.123169081
kmeans_hg,facebook_live_sellers,7050,4,9,10,0.088766491,2.00E+09,8.405384753
gmm,facebook_live_sellers,7050,4,9,10,0.113273449,6.034649026,0.318810216
gmm_ms,facebook_live_sellers,7050,4,9,10,0.070689285,6.733814389,229.3284489
gmm_rs,facebook_live_sellers,7050,4,9,10,0.115430967,7.401044677,152.728392
gmm_hg,facebook_live_sellers,7050,4,9,10,0.077617115,7.526838173,102.1266484
gmm_shrunk,facebook_live_sellers,7050,4,9,10,0.225393589,-44.37832062,0.186647228
gmm_ms_shrunk,facebook_live_sellers,7050,4,9,10,0.184675612,-33.008785,63.40929763
gmm_rs_shrunk,facebook_live_sellers,7050,4,9,10,0.224948934,-43.8170556,14.94796225
gmm_hg_shrunk,facebook_live_sellers,7050,4,9,10,0.22678748,-43.79664038,27.12562143
kmeans,handwritten_digits,5620,10,62,10,0.670282919,3.68E+06,0.218638329
kmeans_hg,handwritten_digits,5620,10,62,10,0.671750686,3.68E+06,53.5922747
gmm,handwritten_digits,5620,10,62,10,0.38323209,-21.07753105,2.431521174
gmm_ms,handwritten_digits,5620,10,62,10,0.303903945,-11.21348553,1198.967063
gmm_rs,handwritten_digits,5620,10,62,10,0.282052783,-12.19625635,265.5767739
gmm_hg,handwritten_digits,5620,10,62,10,0.292767983,-5.30014149,376.3942549
gmm_shrunk,handwritten_digits,5620,10,62,10,0.777497859,-119.4187281,2.752146412
gmm_ms_shrunk,handwritten_digits,5620,10,62,10,0.794652582,-118.6499107,1186.972916
gmm_rs_shrunk,handwritten_digits,5620,10,62,10,0.78701281,-118.6522581,405.0719847
gmm_hg_shrunk,handwritten_digits,5620,10,62,10,0.763171756,-118.6071129,328.1921695
kmeans,hcv,589,5,12,10,0.443600369,1.64E+06,0.008196695
kmeans_hg,hcv,589,5,12,10,0.463843259,1.64E+06,0.610192088
gmm,hcv,589,5,12,10,0.176408341,-36.60284631,0.013474306
gmm_ms,hcv,589,5,12,10,0.115610202,-3.80962818,466.6228284
gmm_rs,hcv,589,5,12,10,0.126997132,-3.913805863,360.3870076
gmm_hg,hcv,589,5,12,10,0.119175399,-3.673412087,1308.810095
gmm_shrunk,hcv,589,5,12,10,0.48353934,-39.98333686,0.013203416
gmm_ms_shrunk,hcv,589,5,12,10,0.212939093,-39.58603466,8.876528021
gmm_rs_shrunk,hcv,589,5,12,10,0.436937048,-39.83264022,1.467212411
gmm_hg_shrunk,hcv,589,5,12,10,0.46738598,-39.85695187,1.882374742
kmeans,image_segmentation,2310,7,18,10,0.318260073,1.40E+07,0.027504267
kmeans_hg,image_segmentation,2310,7,18,10,0.33838164,1.36E+07,6.528742444
