algorithm,dataset,n,k,d,i,ari,nmi,ci_sphere,ci_ellipsoid,ci_ellipsoid_norm,ci_mixture,ci_mixture_norm,mirkins_index,huberts_index,varinfo,vmeasure,obj,t
kmeans,facebook_live_sellers,7050,4,9,1,0.095983414,0.106480623,3,3,3,3,3,0.461384614,0.077230773,1.178266268,0.106480623,2.00E+09,0.266683107
kmeans_hg,facebook_live_sellers,7050,4,9,1,0.088766491,0.095243014,3,3,3,3,3,0.465344453,0.069311094,1.177477755,0.095243014,2.00E+09,41.56568157
gmm,facebook_live_sellers,7050,4,9,1,0.120861837,0.088079075,1,2,2,2,2,0.433278862,0.133442277,1.970890452,0.088079075,5.147883872,0.095725078
gmm_ms,facebook_live_sellers,7050,4,9,1,0.104312536,0.094799406,2,2,2,2,2,0.442041676,0.115916648,1.902187391,0.094799406,6.494684887,10.76074731
gmm_rs,facebook_live_sellers,7050,4,9,1,0.126213822,0.101528076,1,2,2,2,2,0.432452227,0.135095547,1.80679796,0.101528076,6.314507449,5.788266402
gmm_hg,facebook_live_sellers,7050,4,9,1,0.105281154,0.072558692,1,2,2,2,2,0.441198742,0.117602517,1.988314361,0.072558692,5.934224884,6.982452787
gmm_shrunk,facebook_live_sellers,7050,4,9,1,0.223895652,0.164321524,3,3,3,3,3,0.39220496,0.215590079,1.256472041,0.164321524,-43.78967976,0.075397453
gmm_ms_shrunk,facebook_live_sellers,7050,4,9,1,0.121740422,0.098116156,2,2,2,2,2,0.433095988,0.133808025,1.918789075,0.098116156,-32.21705333,9.889561754
gmm_rs_shrunk,facebook_live_sellers,7050,4,9,1,0.227363844,0.155391573,2,3,3,3,3,0.390586502,0.218826995,1.238585563,0.155391573,-43.46935414,2.911371659
gmm_hg_shrunk,facebook_live_sellers,7050,4,9,1,0.158051438,0.124330207,2,2,2,2,2,0.41697419,0.16605162,1.745347139,0.124330207,-32.86093771,6.841960591
kmeans,facebook_live_sellers,7050,4,9,2,0.095983414,0.106480623,3,3,3,3,3,0.461384614,0.077230773,1.178266268,0.106480623,2.00E+09,0.239960142
kmeans_hg,facebook_live_sellers,7050,4,9,2,0.087604516,0.094796021,3,3,3,3,3,0.465968414,0.068063173,1.1766841,0.094796021,2.00E+09,38.63516476
gmm,facebook_live_sellers,7050,4,9,2,0.163624155,0.116044836,1,2,2,2,2,0.414801194,0.170397612,1.740916607,0.116044836,-0.122473659,0.058156673
gmm_ms,facebook_live_sellers,7050,4,9,2,0.112730785,0.096370037,1,2,2,2,2,0.438445049,0.123109902,1.828963,0.096370037,7.177887565,10.66185347
gmm_rs,facebook_live_sellers,7050,4,9,2,0.132626989,0.124322349,2,2,2,2,2,0.430337023,0.139325954,1.713130207,0.124322349,5.225021576,6.510627322
gmm_hg,facebook_live_sellers,7050,4,9,2,0.062038084,0.047543173,1,2,2,2,2,0.462636076,0.074727847,1.998103842,0.047543173,7.320356517,8.860066989
gmm_shrunk,facebook_live_sellers,7050,4,9,2,0.227201929,0.155293911,2,3,3,3,3,0.390766157,0.218467687,1.231274111,0.155293911,-43.77394767,0.055541035
gmm_ms_shrunk,facebook_live_sellers,7050,4,9,2,0.133662827,0.100012036,2,2,2,2,2,0.427659031,0.144681938,1.89245989,0.100012036,-32.12316126,10.22491113
